galaxy,survey,quality_tier,n_points_raw,n_points_used,turnover,curvature_std,curvature_max,q,A0,mse_log,r_min_kpc,r_max_kpc,vobs_max_kms,distance_mpc,inc_deg,m2l_disk,Sigma_proxy,vel_col_used,p_fit,vrot_mean_kms,regime
NGC2403,SPARC,1,73,45,4.826583681468503,174.29842514934697,716.4161088925857,1.2203403815548144,935.6214575394912,0.0385533817340136,0.16,20.87,136.0,3.16,63.0,0.88,0.65,,,,activated
NGC2683,SPARC,1,11,9,1.770415141623983,12.670754435360225,24.12991425720244,1.3694107003559469e-05,349.0211542753253,0.0426028495495772,8.66,34.62,212.0,9.81,80.0,0.8,0.25,,,,non_activated
NGC2841,SPARC,1,50,49,0.5022338461648538,21.841184854310765,61.37773806065414,1.1780629341841185e-07,2028.8772885201208,0.0246336892474724,3.77,63.64,323.0,14.1,76.0,1.17,30.36,,,,non_activated
NGC2903,SPARC,1,34,16,2.0315814605541545,24.552626397567323,53.58334547944973,3.646446234949184e-05,634.7491647243397,0.0109080287098285,10.56,24.96,216.0,6.6,66.0,0.46,0.46,,,,non_activated
NGC2915,SPARC,1,30,27,0.6727919945677685,19.52792968486592,52.2797454186015,2.233264819989905e-07,1105.1681126624658,0.0252150627034422,1.34,10.04,86.5,4.06,56.0,0.52,0.01,,,,non_activated
NGC2955,SPARC,1,24,6,1.731489792730377,30.15914800940703,56.0432502873581,1.1834223486703136e-05,195.6520309136366,0.0208933361575068,19.49,35.43,276.0,97.9,56.0,0.45,11.205,,,,non_activated
NGC2998,SPARC,1,13,11,-0.5450717569978254,3.7782861974842654,11.397565182371782,2.320182133252791e-09,2627.856743929053,0.3728566239285051,0.33,42.28,214.0,68.1,58.0,1.08,17.41,,,,non_activated
NGC3109,SPARC,1,25,25,0.8646132293171351,9.200578695774494,26.45379634832757,4.585018672380412e-07,534.8957509680679,0.0393298607780764,0.26,6.45,67.3,1.33,70.0,4.63,1.97,,,,non_activated
NGC3198,SPARC,1,43,33,-1.86298604037239,129.64485675576705,469.8614843607736,1.6563846602642454e-11,387.36243581973343,0.2445215825694356,2.89,44.08,157.0,13.8,73.0,0.89,15.42,,,,non_activated
NGC3741,SPARC,1,21,21,0.6512346370186735,6.809121796797837,16.28595866381791,2.059832089854136e-07,403.4827835722014,0.0160824423999076,0.23,7.0,51.6,3.21,70.0,1.96,0.0,,,,non_activated
NGC3769,SPARC,1,12,9,1.539160767833353,4.441740504306252,8.667868255948873,5.753233760743547e-06,426.0747029400084,0.0100211855561793,6.98,37.16,126.0,18.0,70.0,0.66,0.61,,,,non_activated
NGC3893,SPARC,1,10,6,2.253389607935012,1.6267227592874982,9.592209034749914,8.377346740365065e-05,693.5650455976627,0.0054364398718339,8.81,19.05,194.0,18.0,49.0,0.68,3.61,,,,non_activated
NGC3917,SPARC,1,17,16,0.0726404156149314,6.951910954450687,12.16844205255424,2.3525062319580496e-08,687.326443328186,0.0062249042170265,1.74,14.86,138.0,18.0,79.0,1.2,31.57,,,,non_activated
NGC3972,SPARC,1,10,9,-0.8830131424681285,13.255515894878029,22.24520284850762,6.533550951214271e-10,847.4400574996886,0.0063714081297071,1.74,8.72,134.0,18.0,77.0,1.19,68.87,,,,non_activated
NGC3992,SPARC,1,9,9,-0.2170860772978928,2.0236736832159017,3.08317288514369,7.937449380217962e-09,779.3893508331595,0.0027435673344643,9.19,46.02,272.0,23.7,56.0,1.23,5.11,,,,non_activated
NGC4010,SPARC,1,12,8,0.5684410437746925,17.190551000099376,27.211235878100787,1.5100586600443648e-07,556.2014474591687,0.0110603069668633,0.87,10.47,129.0,18.0,89.0,0.75,25.91,,,,non_activated
NGC4013,SPARC,1,36,27,4.33732349128945,209.52379822027632,620.768418049071,0.2053664422339485,472.1605631669538,0.0742947822351116,12.08,31.01,198.0,18.0,89.0,0.69,0.0,,,,activated
NGC4100,SPARC,1,24,20,2.157545466142421,57.183761373055205,141.69001880186426,5.84810091818542e-05,661.8003578285925,0.0330620072534538,3.5,22.76,195.0,18.0,73.0,0.95,3.555,,,,non_activated
NGC4157,SPARC,1,17,8,4.616317239847375,22.453073086608526,47.22647613267628,0.5737740074213973,424.9018552025714,0.0419684760247076,17.42,29.61,201.0,18.0,82.0,0.59,0.175,,,,activated
NGC4183,SPARC,1,23,23,-0.1284153741471874,7.530251541115646,17.926849636713442,1.1068543027519218e-08,638.0282510490824,0.0211102462207648,0.87,21.02,115.0,18.0,82.0,1.81,3.83,,,,non_activated
NGC4214,SPARC,1,14,14,0.1368291227875618,3.696720719745228,6.769137064692773,2.992738615542795e-08,1570.635109048403,0.0378252175189719,0.21,5.63,80.6,2.87,15.0,1.45,2.345,,,,non_activated
NGC4217,SPARC,1,19,7,2.471012852832202,22.076957143268416,43.3784785468907,0.0001894638465736,291.47329765828937,0.0304563440433726,11.35,16.72,191.0,18.0,86.0,0.29,1.12,,,,non_activated
NGC4559,SPARC,1,32,21,4.92433639378856,32.034014974964585,69.51652032590965,1.7143668379928072,412.7013862378824,0.0499273346240826,7.87,20.97,124.0,9.0,67.0,0.78,0.52,,,,activated
NGC5033,SPARC,1,22,16,0.7851098252348623,13.43969223858172,33.802941859811874,3.402996676209706e-07,788.5639866022932,0.0112893099651648,10.28,44.59,225.0,15.7,66.0,0.71,1.085,,,,non_activated
NGC5055,SPARC,1,28,13,2.4245981276997743,13.766821674336391,32.659921095039785,0.0001591973324274,301.9104442384789,0.009703482182886,20.07,54.59,206.0,9.9,55.0,0.49,0.01,,,,non_activated
NGC5585,SPARC,1,24,13,1.3517870761276565,9.645671121592718,16.031529080491616,2.849406967909306e-06,608.2452742464956,0.0044032643462434,2.74,10.96,92.3,7.06,51.0,0.65,0.0,,,,non_activated
NGC5907,SPARC,1,19,19,-0.844601103677056,17.720033492984225,44.25167963344428,7.545834818300674e-10,515.7950028669131,0.0630038700086061,5.03,50.33,235.0,17.3,88.0,1.07,4.72,,,,non_activated
NGC5985,SPARC,1,33,33,-0.2155033692092419,19.6659796559463,47.86793740708761,7.984699454777343e-09,3259.2342064366485,0.0613420276226328,3.54,34.72,305.0,39.7,60.0,1.59,70.86,,,,non_activated
NGC6015,SPARC,1,44,40,-0.8717555831717084,52.61976494355995,241.3144142935786,6.815275114049642e-10,834.9434083615118,0.0550031336493348,0.67,29.23,166.0,17.0,60.0,1.03,3.345,,,,non_activated
NGC6503,SPARC,1,31,27,0.7166577685055786,12.92780755477905,49.200597720878285,2.632571723139546e-07,589.2146974943737,0.0053555858116712,0.76,23.5,121.0,6.26,74.0,0.83,0.2,,,,non_activated
NGC6674,SPARC,1,15,14,-0.4279874251887262,6.221659702806396,13.495193563655231,3.59920120207743e-09,996.657805982844,0.0359924364310789,7.49,72.41,291.0,51.2,54.0,1.46,1.14,,,,non_activated
NGC6946,SPARC,1,58,26,5.872003528574775,259.85184388990496,543.3476123100279,15.322934819648388,569.7300452544015,0.0224572253480496,11.51,20.4,181.0,5.52,38.0,0.59,2.43,,,,activated
NGC7331,SPARC,1,36,14,7.903865999217862,77.06816486285541,170.70734630720733,19.99700431298303,709.4516617462548,0.0881143211366341,22.49,36.31,257.0,14.7,75.0,0.45,2.075,,,,activated
NGC7793,SPARC,1,46,20,2.858905393099193,91.96722437289569,260.35894657966924,0.0008114024346822,538.1786737094737,0.1654773698505569,0.42,7.87,116.0,3.61,47.0,0.53,27.335,,,,non_activated
NGC7814,SPARC,1,18,13,1.4193540782218497,5.1463826568578686,14.976912249780511,3.671084446628632e-06,1415.1014157840707,0.0054643747332186,6.14,19.53,265.0,14.4,90.0,0.76,4.05,,,,non_activated
UGC00128,SPARC,1,22,22,0.5027181563192443,10.948290308390892,24.69241011471226,1.1802044326438365e-07,539.7204185557554,0.0351530864427991,1.25,53.75,134.0,64.5,57.0,4.07,0.485,,,,non_activated
UGC00191,SPARC,1,9,9,1.2019786733628124,2.3209301727327123,5.52358827038851,1.6247101685521062e-06,822.9100767636355,0.0206431392126449,0.62,9.98,83.85,17.1,45.0,1.87,40.48,,,,non_activated
UGC00731,SPARC,1,12,12,0.6121896092455064,4.116043678984282,10.315093003976028,1.7792743576651041e-07,644.4162280912464,0.0176348246669537,0.91,10.91,74.0,12.5,57.0,15.28,0.825,,,,non_activated
UGC01230,SPARC,1,11,10,0.7459445477007187,3.537393655254665,6.154888892144738,2.9381690944462144e-07,780.4655980298032,0.0940625438953029,2.35,36.54,113.0,53.7,22.0,1.9,5.43,,,,non_activated
UGC01281,SPARC,1,25,25,0.7329365947137354,4.987912480922338,12.483243820453811,2.798285217811948e-07,426.3647909553077,0.0609532583039073,0.08,4.99,56.9,5.27,90.0,2.14,7.06,,,,non_activated
UGC02259,SPARC,1,8,8,-0.0544963362868117,1.7301969580360863,3.007229376549245,1.4604117585571372e-08,1262.6949756732715,0.0251149542080217,1.02,8.14,90.0,10.5,41.0,3.83,6.305,,,,non_activated
UGC02487,SPARC,1,17,17,-0.4117038928965773,8.743109411963205,19.75524183820496,3.825829010681567e-09,1845.4492450493888,0.0318054146588697,9.93,80.38,383.0,69.1,36.0,1.4,6.11,,,,non_activated
UGC02885,SPARC,1,19,16,0.130458290727205,6.314319388512889,13.98158631495384,2.92208754329322e-08,960.0256625787922,0.0422055633623803,1.7,74.07,305.0,80.6,64.0,0.89,5.9350000000000005,,,,non_activated
UGC02916,SPARC,1,43,20,5.090289942528852,206.52117484136883,516.6472910834024,2.974222018870014,707.1191379611699,0.4584590066176862,0.37,38.0,218.0,65.4,50.0,0.56,32.975,,,,activated
UGC02953,SPARC,1,115,41,-0.652734150426032,29.012410107681745,61.6645825960048,1.5494681034777054e-09,14503.357431419765,1.353769336703069,0.09,62.39,319.0,16.5,50.0,0.65,0.16,,,,non_activated
UGC03205,SPARC,1,48,34,-1.7255268164049615,84.32231616302103,345.00340902754965,2.7734981726025155e-11,1227.4578858077518,0.1512165769716509,0.28,40.04,237.0,50.0,67.0,0.89,16.015,,,,non_activated
UGC03546,SPARC,1,30,11,4.083782120576879,20.057532666534694,53.00312402323328,0.0798648582340659,501.4418454066957,0.0502271305231777,11.14,29.23,262.0,28.7,55.0,0.51,2.73,,,,non_activated
UGC03580,SPARC,1,47,17,0.3472154543764379,58.370534678009406,166.51203780372873,6.58726101591901e-08,806.4209639184786,0.0703276147168548,0.11,27.06,131.0,20.7,63.0,0.32,1.5,,,,non_activated
UGC04278,SPARC,1,25,25,0.3636020009392811,14.193579967617003,33.15279342975445,7.00474085064365e-08,630.2637234597119,0.0424722747494896,0.14,6.69,92.8,9.51,90.0,1.69,10.46,,,,non_activated
UGC04325,SPARC,1,8,8,0.6703190881212269,2.1806014209385163,3.982245559846689,2.2126505937830598e-07,1735.4046098336255,0.0209637788523172,0.7,5.59,92.7,9.6,41.0,3.4,23.66,,,,non_activated
UGC04483,SPARC,1,8,8,1.2835492711296943,2.411153006750607,5.161170140321548,2.2060843453437787e-06,296.30104867970374,0.0631529214927319,0.08,1.21,24.3,3.34,58.0,1.63,1.93,,,,non_activated
UGC04499,SPARC,1,9,8,0.5781247921028503,3.555011966072478,6.725797712971087,1.5659028423708518e-07,504.9763399421604,0.0012144197576524,1.82,8.18,74.3,12.5,50.0,1.59,4.33,,,,non_activated
UGC05005,SPARC,1,11,10,1.475528592760628,2.1478864563817357,5.127688884645167,4.531900982666576e-06,286.1275874362141,0.030428321734249,2.34,28.61,100.0,53.7,41.0,1.34,3.575,,,,non_activated
UGC05253,SPARC,1,73,19,0.4242324320920699,12.96434653767602,27.91830229330972,8.79295911022648e-08,8736.120966376593,1.0740842142782057,0.13,53.29,248.0,22.9,37.0,0.71,8.66,,,,non_activated
UGC05414,SPARC,1,6,6,0.7356528445624473,2.4454140145037995,4.247324552778535,2.826934033974272e-07,340.96522415007547,0.0596715161383433,0.68,4.11,61.4,9.4,55.0,1.28,16.03,,,,non_activated
UGC05716,SPARC,1,12,12,0.3767656813529015,5.369697764586724,10.965537238784664,7.359198192477642e-08,576.6071821037626,0.0144844030402311,1.03,12.37,74.7,21.3,54.0,4.08,0.2,,,,non_activated
UGC05721,SPARC,1,23,22,1.3856933984896656,6.092922606290405,16.30864593942942,3.235746247805253e-06,1701.374756172829,0.0316886687479717,0.27,6.74,82.6,6.18,61.0,1.49,1.925,,,,non_activated
UGC05750,SPARC,1,11,9,1.5573771513552936,4.559863565376063,9.58448953004554,6.159979858205473e-06,285.39911582635284,0.0178198202659031,2.52,22.85,78.9,58.7,64.0,1.47,8.67,,,,non_activated
UGC05764,SPARC,1,10,10,1.5475449141410742,10.665943094811125,24.08781143360316,5.936992127993074e-06,1048.4992284319692,0.0175737629130802,0.36,3.62,55.8,7.47,60.0,14.1,1.81,,,,non_activated
UGC05829,SPARC,1,11,11,-0.0268006200493943,1.4592058682715323,2.380851066950803,1.6202449769929592e-08,427.25826028696406,0.0008545497718662,0.63,6.91,68.6,8.64,34.0,4.14,3.62,,,,non_activated
UGC05918,SPARC,1,8,8,0.4395012110656182,2.449528766639855,4.89717643780461,9.311118474915297e-08,436.5340892230241,0.0065304935444304,0.56,4.46,44.5,7.66,46.0,5.14,3.64,,,,non_activated
UGC05986,SPARC,1,15,14,1.7326149398997364,6.041674535029102,13.370063452339998,1.1884261106177104e-05,1226.966575604881,0.0087144210645879,1.26,9.41,116.0,8.63,90.0,1.54,9.58,,,,non_activated
UGC06399,SPARC,1,9,9,0.9174949233657916,3.2323842045467224,5.320007107571216,5.590677765307725e-07,724.516733061412,0.0097029209677009,0.87,7.85,87.6,18.0,75.0,2.14,11.73,,,,non_activated
UGC06446,SPARC,1,17,17,0.6640110215353168,5.371845626920896,13.553250993388811,2.160924006761036e-07,965.3793584136488,0.0225505781074731,0.58,10.22,84.9,12.0,51.0,3.8,1.67,,,,non_activated
UGC06614,SPARC,1,13,6,0.991245036500615,2.6146480321922247,6.356642398975323,7.371811289459858e-07,577.433765862727,0.0013301397489336,24.94,64.59,205.0,88.7,36.0,0.78,0.0,,,,non_activated
UGC06667,SPARC,1,9,9,0.7993489171444643,2.821088388249245,5.386849965432966,3.589643925639883e-07,1039.2409625521584,0.0033491452686556,0.87,7.85,85.7,18.0,89.0,14.78,4.81,,,,non_activated
UGC06786,SPARC,1,45,39,-1.5511291609879974,69.22117845300896,169.55049973986073,5.3339956457918476e-11,2087.839620647686,0.1362502382049968,0.16,34.05,229.0,29.3,64.0,0.85,107.0,,,,non_activated
UGC06787,SPARC,1,71,37,13.138317646090066,785.1321900135116,3354.784651011801,19.99999999999105,3271.8838084766458,0.0327991565236466,6.2,37.19,276.0,21.3,66.0,0.61,12.46,,,,activated
UGC06917,SPARC,1,11,11,1.067290982892335,4.274504468547171,5.902503581903916,9.804443761996137e-07,772.6813394039814,0.0112440368998865,1.74,10.47,111.0,18.0,56.0,1.45,16.34,,,,non_activated
UGC06930,SPARC,1,10,10,0.2976418255913231,2.4231516635528583,5.79750680095384,5.469769777860197e-08,602.4039539166855,0.0109587548718516,1.74,16.61,109.0,18.0,32.0,1.84,8.48,,,,non_activated
UGC06983,SPARC,1,17,16,0.2610097427150606,8.520815476857402,20.107142934469195,4.7677105301931764e-08,895.0518973729453,0.0172889091182612,2.61,15.68,113.0,18.0,49.0,1.93,3.26,,,,non_activated
UGC07089,SPARC,1,12,11,0.2939383049764703,6.6013363438275405,11.397214046102812,5.394329585734743e-08,238.1914788292404,0.0749879129358906,0.87,9.16,79.1,18.0,80.0,1.11,7.62,,,,non_activated
UGC07125,SPARC,1,13,12,0.9463014552532698,8.087816441861928,16.40614523509343,6.22843450076918e-07,144.73536387926464,0.007777132438432,2.88,18.68,65.6,19.8,90.0,1.3,1.365,,,,non_activated
UGC07151,SPARC,1,11,10,0.5447726520986247,4.483590402770311,7.980977071306205,1.381806954018895e-07,621.1405019400214,0.0046048281878805,1.0,5.5,76.2,6.87,90.0,1.28,15.65,,,,non_activated
UGC07261,SPARC,1,7,7,-0.2679692339166131,1.2296539238895556,2.1858672989747423,6.558619571587663e-09,694.8866829102548,0.0078108928432423,0.95,6.67,76.1,13.1,30.0,1.67,7.49,,,,non_activated
UGC07323,SPARC,1,10,8,-0.0547021036580648,11.069906620298177,18.211260397400974,1.4592852991355713e-08,320.91845040167766,0.051134212779871,0.58,5.82,85.6,8.0,47.0,1.03,31.700000000000003,,,,non_activated
UGC07399,SPARC,1,10,10,0.3449509240769881,1.7494061743271136,2.8237611854283777,6.531558916038176e-08,2138.336618455679,0.0078830676609194,0.61,6.13,106.0,8.43,55.0,3.21,6.545,,,,non_activated
UGC07524,SPARC,1,31,30,1.3883324670558563,28.84815362548902,104.01357062630578,3.267927808227143e-06,526.6157285942726,0.0054867168607223,0.69,10.69,83.8,4.74,46.0,2.1,6.64,,,,non_activated
UGC07603,SPARC,1,12,11,1.231127278219635,3.5587918249886314,6.9202379518931565,1.81237239206442e-06,930.4542900798992,0.0099800984032121,0.68,4.11,64.0,4.7,78.0,1.47,2.3,,,,non_activated
UGC07608,SPARC,1,8,8,0.843400001038257,0.8187283454833115,2.4914504475650663,4.23441241671335e-07,789.2379807875752,0.0124423087219997,0.6,4.78,69.3,8.21,25.0,5.56,3.275,,,,non_activated
UGC07690,SPARC,1,7,6,-0.0746847098587045,2.138462627635308,3.3790046368327964,1.3539307406579424e-08,590.3618040090026,0.0137721062624995,1.18,4.13,60.7,8.11,41.0,1.19,4.315,,,,non_activated
UGC07866,SPARC,1,7,7,-0.276820985629025,1.202887587684261,2.600474016197921,6.344485946225868e-09,238.8864673144946,0.0003867249418565,0.33,2.32,33.1,4.57,44.0,1.83,5.83,,,,non_activated
UGC08286,SPARC,1,17,17,0.6695820052536448,4.345598594524423,9.303673345682052,2.2065431377613699e-07,1116.73783837707,0.0169382946353511,0.47,8.04,84.3,6.5,90.0,3.41,4.23,,,,non_activated
UGC08490,SPARC,1,30,30,0.7500961375653874,14.079790637115744,60.11671044740211,2.9842697949982414e-07,1026.41815367542,0.032534188125307,0.34,10.15,80.1,4.65,50.0,1.98,0.145,,,,non_activated
UGC08550,SPARC,1,11,11,0.663937646004393,4.83997711408564,11.993591858799372,2.1603294925154005e-07,713.8461346065645,0.007685536863689,0.49,5.36,57.8,6.7,90.0,2.57,0.36,,,,non_activated
UGC08699,SPARC,1,41,27,2.4822535822182177,38.91671710436629,109.05367624333672,0.0001976209002881,861.248071426963,0.006331425210748,5.87,25.7,202.0,39.3,73.0,0.68,47.02,,,,non_activated
UGC08837,SPARC,1,8,6,2.5827312983293016,16.947659042398573,31.086401747525127,0.0002880509759406,158.24756813568845,0.2597890459932886,1.57,4.2,48.0,7.21,80.0,0.85,7.215,,,,non_activated
UGC09037,SPARC,1,22,11,7.204530708116636,35.267312462273395,115.7860596045651,19.9588275235932,521.9452934332626,0.0089162611228754,15.78,27.96,160.0,83.6,65.0,0.39,3.38,,,,activated
UGC09133,SPARC,1,68,35,2.7406916110762944,181.3911156803152,730.2751690971392,0.0005208577628392,2428.587763759424,0.5895510277676923,0.32,108.31,289.0,57.1,53.0,0.67,0.26,,,,non_activated
UGC10310,SPARC,1,7,7,0.4553295684108064,3.4910049440408644,5.679802947380134,9.880524138155829e-08,600.114661979721,0.0109107818215569,1.1,7.74,73.2,15.2,34.0,2.41,7.39,,,,non_activated
UGC11455,SPARC,1,36,7,1.220176757216758,96.36696554479109,141.0307413415641,1.739455704483728e-06,462.8815613394419,0.0445158234939471,29.13,41.93,291.0,78.6,90.0,0.43,0.6,,,,non_activated
UGC11820,SPARC,1,10,10,0.6786475925512511,4.510590556765941,10.51724796518198,2.282846323393486e-07,575.2865785015318,0.0251945898401631,0.26,15.82,84.45,18.1,45.0,2.18,18.45,,,,non_activated
UGC12506,SPARC,1,31,31,0.5001070922117207,25.77479475234789,61.91186076350296,1.1687048631723406e-07,2060.13388621922,0.1104539795504255,0.82,49.99,255.0,100.6,86.0,1.85,11.03,,,,non_activated
