galaxy,survey,quality_tier,n_points_raw,n_points_used,turnover,curvature_std,curvature_max,q,A0,mse_log,r_min_kpc,r_max_kpc,vobs_max_kms,distance_mpc,inc_deg,m2l_disk,Sigma_proxy
F583-1,SPARC,1,25,24,1.153267329000607,6.3299097386309615,17.169950729953925,1.353456802643412e-06,568.7804649207656,0.06499261652641554,0.26,16.26,86.9,35.4,63.0,2.16,5.74
F583-4,SPARC,1,12,12,-0.14238371125182983,3.62741702648886,7.622920814671361,1.0503681969398206e-08,399.1259330365162,0.00024496686290015416,0.22,7.29,69.9,53.3,55.0,1.96,7.529999999999999
IC2574,SPARC,1,34,34,0.9009777284273713,32.134256379693745,84.95465621376344,5.254900377590783e-07,206.3606087356045,0.10213056350243746,0.85,10.23,67.5,3.91,75.0,1.4,4.165
IC4202,SPARC,1,32,22,-2.8144746740026183,97.45963811363565,262.8306464328348,4.672644201583135e-13,566.9688715109096,0.03969668827767498,5.5,25.9,250.0,100.4,90.0,0.38,38.81
KK98-251,SPARC,1,15,15,0.9016250996809986,11.799749613848382,31.724624827211414,5.26767289244919e-07,165.21065122167326,0.07373708066286926,0.25,3.13,34.6,6.8,59.0,2.71,3.87
NGC0024,SPARC,1,29,28,0.9399496389188872,14.022785944936933,43.814182781243396,6.081830420758794e-07,2340.9415738208027,0.038195917751991236,0.32,11.27,110.0,7.3,64.0,1.75,105.55
NGC0055,SPARC,1,21,20,3.800380366440361,13.488979807771816,30.087454422747115,0.027665782108104442,342.8009813393411,0.18976413925295363,1.84,13.5,87.4,2.11,77.0,1.17,7.04
NGC0100,SPARC,1,21,18,1.6806716571537783,6.217597928957813,16.316758214943096,9.780863019618908e-06,518.6136810203215,0.05551473150380691,1.59,9.62,91.2,13.5,89.0,1.02,6.225
NGC0247,SPARC,1,26,26,-0.2319060785691987,7.400554094374977,15.530238465696725,7.508359367254375e-09,631.5488709887809,0.006205353620401477,1.08,14.54,108.0,3.7,74.0,2.26,10.92
NGC0289,SPARC,1,28,21,0.9823971414121844,28.38305250865758,89.16898180275436,7.131230754139058e-07,429.8798978409062,0.013164630573423305,10.6,71.12,194.0,20.8,46.0,0.79,0.1
NGC0300,SPARC,1,25,25,0.9516597944965084,20.827553158208417,44.75798581801601,6.354853100313512e-07,711.2704182560531,0.009127785879322342,0.91,11.8,97.0,2.08,42.0,1.62,3.98
NGC1003,SPARC,1,36,32,1.127116918520365,27.60920318877992,65.57823207993448,1.2270315533928489e-06,440.85562370845696,0.011329834611976992,4.56,30.24,115.0,11.4,67.0,1.05,0.01
NGC1090,SPARC,1,24,18,1.0213583695439246,30.597343221084685,69.45524445817772,8.253096272571272e-07,292.83432349316666,0.05863659599187322,5.09,30.09,176.0,37.0,64.0,0.61,3.34
NGC1705,SPARC,1,14,14,0.35540971889363376,1.8866801142821092,4.050893942556746,6.792819691844391e-08,1693.9578379928437,0.051479979589064924,0.22,6.0,73.2,5.73,80.0,2.59,0.19
NGC2366,SPARC,1,26,23,4.276844857873556,22.263827113623133,40.65377312741874,0.16403614650097434,380.2440051206872,0.13386678188025924,0.12,6.06,53.7,3.27,68.0,0.96,0.45
NGC2403,SPARC,1,73,45,4.826583681468503,174.29842514934697,716.4161088925857,1.2203403815548144,935.6214575394911,0.03855338173401363,0.16,20.87,136.0,3.16,63.0,0.88,0.65
NGC2683,SPARC,1,11,9,1.770415141623983,12.670754435360223,24.129914257202437,1.3694107003559467e-05,349.0211542753253,0.0426028495495772,8.66,34.62,212.0,9.81,80.0,0.8,0.25
NGC2841,SPARC,1,50,49,0.5022338461648538,21.841184854310765,61.37773806065414,1.1780629341841185e-07,2028.8772885201208,0.024633689247472466,3.77,63.64,323.0,14.1,76.0,1.17,30.36
NGC2903,SPARC,1,34,16,2.0315814605541545,24.552626397567323,53.58334547944973,3.646446234949184e-05,634.7491647243397,0.01090802870982856,10.56,24.96,216.0,6.6,66.0,0.46,0.46
NGC2915,SPARC,1,30,27,0.6727919945677685,19.527929684865917,52.2797454186015,2.2332648199899047e-07,1105.1681126624658,0.025215062703442218,1.34,10.04,86.5,4.06,56.0,0.52,0.01
NGC2955,SPARC,1,24,6,1.731489792730377,30.15914800940703,56.0432502873581,1.1834223486703135e-05,195.6520309136366,0.02089333615750687,19.49,35.43,276.0,97.9,56.0,0.45,11.205
NGC2998,SPARC,1,13,11,-0.5450717569978254,3.7782861974842654,11.397565182371782,2.320182133252791e-09,2627.856743929053,0.37285662392850516,0.33,42.28,214.0,68.1,58.0,1.08,17.41
NGC3109,SPARC,1,25,25,0.8646132293171351,9.200578695774494,26.45379634832757,4.5850186723804117e-07,534.8957509680679,0.03932986077807647,0.26,6.45,67.3,1.33,70.0,4.63,1.97
NGC3198,SPARC,1,43,33,-1.8629860403723901,129.64485675576705,469.86148436077355,1.6563846602642454e-11,387.36243581973343,0.2445215825694356,2.89,44.08,157.0,13.8,73.0,0.89,15.42
NGC3741,SPARC,1,21,21,0.6512346370186735,6.809121796797837,16.28595866381791,2.059832089854136e-07,403.4827835722014,0.01608244239990761,0.23,7.0,51.6,3.21,70.0,1.96,0.0
NGC3769,SPARC,1,12,9,1.539160767833353,4.441740504306252,8.667868255948873,5.753233760743547e-06,426.0747029400084,0.010021185556179393,6.98,37.16,126.0,18.0,70.0,0.66,0.61
NGC3893,SPARC,1,10,6,2.253389607935012,1.6267227592874982,9.592209034749914,8.377346740365065e-05,693.5650455976627,0.005436439871833921,8.81,19.05,194.0,18.0,49.0,0.68,3.61
NGC3917,SPARC,1,17,16,0.07264041561493143,6.951910954450687,12.168442052554239,2.3525062319580496e-08,687.326443328186,0.006224904217026563,1.74,14.86,138.0,18.0,79.0,1.2,31.57
NGC3972,SPARC,1,10,9,-0.8830131424681285,13.255515894878029,22.24520284850762,6.533550951214271e-10,847.4400574996886,0.006371408129707185,1.74,8.72,134.0,18.0,77.0,1.19,68.87
NGC3992,SPARC,1,9,9,-0.2170860772978928,2.0236736832159017,3.08317288514369,7.937449380217962e-09,779.3893508331595,0.002743567334464326,9.19,46.02,272.0,23.7,56.0,1.23,5.11
NGC4010,SPARC,1,12,8,0.5684410437746925,17.190551000099376,27.211235878100787,1.5100586600443648e-07,556.2014474591687,0.011060306966863307,0.87,10.47,129.0,18.0,89.0,0.75,25.91
NGC4013,SPARC,1,36,27,4.33732349128945,209.52379822027632,620.768418049071,0.20536644223394857,472.1605631669538,0.07429478223511163,12.08,31.01,198.0,18.0,89.0,0.69,0.0
NGC4100,SPARC,1,24,20,2.157545466142421,57.183761373055205,141.69001880186426,5.8481009181854195e-05,661.8003578285925,0.033062007253453894,3.5,22.76,195.0,18.0,73.0,0.95,3.5549999999999997
NGC4157,SPARC,1,17,8,4.616317239847375,22.453073086608526,47.22647613267628,0.5737740074213973,424.9018552025714,0.0419684760247076,17.42,29.61,201.0,18.0,82.0,0.59,0.17500000000000002
NGC4183,SPARC,1,23,23,-0.12841537414718748,7.530251541115646,17.926849636713442,1.1068543027519218e-08,638.0282510490824,0.02111024622076486,0.87,21.02,115.0,18.0,82.0,1.81,3.83
NGC4214,SPARC,1,14,14,0.13682912278756187,3.6967207197452283,6.769137064692773,2.992738615542795e-08,1570.6351090484027,0.03782521751897191,0.21,5.63,80.6,2.87,15.0,1.45,2.3449999999999998
NGC4217,SPARC,1,19,7,2.471012852832202,22.076957143268416,43.3784785468907,0.00018946384657364177,291.47329765828937,0.030456344043372635,11.35,16.72,191.0,18.0,86.0,0.29,1.12
NGC4559,SPARC,1,32,21,4.92433639378856,32.034014974964585,69.51652032590965,1.7143668379928072,412.7013862378824,0.049927334624082664,7.87,20.97,124.0,9.0,67.0,0.78,0.52
NGC5033,SPARC,1,22,16,0.7851098252348623,13.439692238581719,33.802941859811874,3.402996676209706e-07,788.5639866022932,0.011289309965164807,10.28,44.59,225.0,15.7,66.0,0.71,1.085
NGC5055,SPARC,1,28,13,2.4245981276997743,13.766821674336393,32.659921095039785,0.00015919733242742912,301.9104442384789,0.00970348218288608,20.07,54.59,206.0,9.9,55.0,0.49,0.01
NGC5585,SPARC,1,24,13,1.3517870761276563,9.645671121592718,16.031529080491616,2.849406967909306e-06,608.2452742464956,0.004403264346243419,2.74,10.96,92.3,7.06,51.0,0.65,0.0
NGC5907,SPARC,1,19,19,-0.844601103677056,17.720033492984225,44.25167963344428,7.545834818300675e-10,515.7950028669131,0.06300387000860617,5.03,50.33,235.0,17.3,88.0,1.07,4.72
NGC5985,SPARC,1,33,33,-0.21550336920924196,19.6659796559463,47.86793740708761,7.984699454777343e-09,3259.2342064366485,0.0613420276226328,3.54,34.72,305.0,39.7,60.0,1.59,70.86
NGC6015,SPARC,1,44,40,-0.8717555831717084,52.61976494355995,241.3144142935786,6.815275114049643e-10,834.9434083615118,0.055003133649334866,0.67,29.23,166.0,17.0,60.0,1.03,3.3449999999999998
NGC6503,SPARC,1,31,27,0.7166577685055786,12.92780755477905,49.200597720878285,2.632571723139546e-07,589.2146974943737,0.005355585811671206,0.76,23.5,121.0,6.26,74.0,0.83,0.2
NGC6674,SPARC,1,15,14,-0.42798742518872623,6.221659702806396,13.495193563655233,3.5992012020774303e-09,996.6578059828439,0.03599243643107893,7.49,72.41,291.0,51.2,54.0,1.46,1.1400000000000001
NGC6946,SPARC,1,58,26,5.8720035285747745,259.85184388990496,543.3476123100279,15.322934819648387,569.7300452544015,0.022457225348049663,11.51,20.4,181.0,5.52,38.0,0.59,2.4299999999999997
NGC7331,SPARC,1,36,14,7.903865999217862,77.06816486285541,170.70734630720733,19.99700431298303,709.4516617462548,0.08811432113663416,22.49,36.31,257.0,14.7,75.0,0.45,2.075
NGC7793,SPARC,1,46,20,2.8589053930991932,91.96722437289567,260.35894657966924,0.0008114024346822452,538.1786737094737,0.1654773698505569,0.42,7.87,116.0,3.61,47.0,0.53,27.335
NGC7814,SPARC,1,18,13,1.4193540782218497,5.1463826568578686,14.976912249780511,3.6710844466286323e-06,1415.1014157840707,0.005464374733218642,6.14,19.53,265.0,14.4,90.0,0.76,4.05
UGC00128,SPARC,1,22,22,0.5027181563192443,10.948290308390893,24.69241011471226,1.1802044326438364e-07,539.7204185557554,0.03515308644279911,1.25,53.75,134.0,64.5,57.0,4.07,0.485
UGC00191,SPARC,1,9,9,1.2019786733628124,2.3209301727327123,5.52358827038851,1.6247101685521062e-06,822.9100767636355,0.02064313921264491,0.62,9.98,83.85,17.1,45.0,1.87,40.48
UGC00731,SPARC,1,12,12,0.6121896092455064,4.116043678984282,10.315093003976028,1.7792743576651041e-07,644.4162280912464,0.017634824666953777,0.91,10.91,74.0,12.5,57.0,15.28,0.825
UGC01230,SPARC,1,11,10,0.7459445477007187,3.5373936552546654,6.154888892144738,2.9381690944462144e-07,780.4655980298032,0.09406254389530297,2.35,36.54,113.0,53.7,22.0,1.9,5.43
UGC01281,SPARC,1,25,25,0.7329365947137354,4.987912480922338,12.483243820453811,2.798285217811948e-07,426.36479095530774,0.06095325830390738,0.08,4.99,56.9,5.27,90.0,2.14,7.06
UGC02259,SPARC,1,8,8,-0.054496336286811775,1.7301969580360863,3.007229376549245,1.460411758557137e-08,1262.6949756732715,0.025114954208021782,1.02,8.14,90.0,10.5,41.0,3.83,6.305
UGC02487,SPARC,1,17,17,-0.41170389289657733,8.743109411963205,19.75524183820496,3.825829010681567e-09,1845.4492450493892,0.03180541465886972,9.93,80.38,383.0,69.1,36.0,1.4,6.11
UGC02885,SPARC,1,19,16,0.130458290727205,6.314319388512889,13.98158631495384,2.92208754329322e-08,960.0256625787922,0.0422055633623803,1.7,74.07,305.0,80.6,64.0,0.89,5.9350000000000005
UGC02916,SPARC,1,43,20,5.090289942528852,206.52117484136883,516.6472910834024,2.974222018870014,707.1191379611699,0.4584590066176862,0.37,38.0,218.0,65.4,50.0,0.56,32.975
UGC02953,SPARC,1,115,41,-0.652734150426032,29.012410107681742,61.6645825960048,1.5494681034777056e-09,14503.357431419765,1.353769336703069,0.09,62.39,319.0,16.5,50.0,0.65,0.16
UGC03205,SPARC,1,48,34,-1.7255268164049617,84.32231616302103,345.00340902754965,2.7734981726025155e-11,1227.4578858077518,0.15121657697165092,0.28,40.04,237.0,50.0,67.0,0.89,16.015
UGC03546,SPARC,1,30,11,4.083782120576879,20.057532666534698,53.003124023233276,0.07986485823406596,501.4418454066957,0.050227130523177725,11.14,29.23,262.0,28.7,55.0,0.51,2.73
UGC03580,SPARC,1,47,17,0.3472154543764379,58.370534678009406,166.51203780372873,6.58726101591901e-08,806.4209639184786,0.07032761471685485,0.11,27.06,131.0,20.7,63.0,0.32,1.5
UGC04278,SPARC,1,25,25,0.36360200093928113,14.193579967617005,33.15279342975445,7.004740850643649e-08,630.2637234597119,0.04247227474948966,0.14,6.69,92.8,9.51,90.0,1.69,10.46
UGC04325,SPARC,1,8,8,0.6703190881212269,2.1806014209385163,3.982245559846689,2.2126505937830595e-07,1735.4046098336255,0.0209637788523172,0.7,5.59,92.7,9.6,41.0,3.4,23.66
UGC04483,SPARC,1,8,8,1.2835492711296945,2.411153006750607,5.161170140321548,2.2060843453437787e-06,296.30104867970374,0.06315292149273191,0.08,1.21,24.3,3.34,58.0,1.63,1.93
UGC04499,SPARC,1,9,8,0.5781247921028503,3.555011966072478,6.725797712971087,1.5659028423708518e-07,504.9763399421604,0.0012144197576524126,1.82,8.18,74.3,12.5,50.0,1.59,4.33
UGC05005,SPARC,1,11,10,1.4755285927606279,2.1478864563817353,5.127688884645167,4.531900982666576e-06,286.1275874362141,0.030428321734249097,2.34,28.61,100.0,53.7,41.0,1.34,3.5749999999999997
UGC05253,SPARC,1,73,19,0.4242324320920699,12.96434653767602,27.918302293309722,8.79295911022648e-08,8736.120966376593,1.0740842142782057,0.13,53.29,248.0,22.9,37.0,0.71,8.66
UGC05414,SPARC,1,6,6,0.7356528445624473,2.4454140145037995,4.247324552778535,2.826934033974272e-07,340.96522415007547,0.059671516138343324,0.68,4.11,61.4,9.4,55.0,1.28,16.03
UGC05716,SPARC,1,12,12,0.37676568135290156,5.369697764586724,10.965537238784664,7.359198192477641e-08,576.6071821037626,0.014484403040231181,1.03,12.37,74.7,21.3,54.0,4.08,0.2
UGC05721,SPARC,1,23,22,1.3856933984896656,6.092922606290405,16.30864593942942,3.235746247805253e-06,1701.374756172829,0.03168866874797174,0.27,6.74,82.6,6.18,61.0,1.49,1.9249999999999998
UGC05750,SPARC,1,11,9,1.5573771513552936,4.559863565376063,9.58448953004554,6.159979858205473e-06,285.39911582635284,0.017819820265903175,2.52,22.85,78.9,58.7,64.0,1.47,8.67
UGC05764,SPARC,1,10,10,1.5475449141410742,10.665943094811123,24.087811433603157,5.936992127993074e-06,1048.4992284319692,0.01757376291308025,0.36,3.62,55.8,7.47,60.0,14.1,1.81
UGC05829,SPARC,1,11,11,-0.02680062004939432,1.4592058682715323,2.380851066950803,1.620244976992959e-08,427.25826028696406,0.000854549771866213,0.63,6.91,68.6,8.64,34.0,4.14,3.62
UGC05918,SPARC,1,8,8,0.43950121106561824,2.449528766639855,4.89717643780461,9.311118474915295e-08,436.5340892230241,0.006530493544430412,0.56,4.46,44.5,7.66,46.0,5.14,3.6399999999999997
UGC05986,SPARC,1,15,14,1.7326149398997364,6.041674535029102,13.370063452339998,1.1884261106177104e-05,1226.966575604881,0.008714421064587946,1.26,9.41,116.0,8.63,90.0,1.54,9.58
UGC06399,SPARC,1,9,9,0.9174949233657915,3.2323842045467224,5.320007107571216,5.590677765307725e-07,724.516733061412,0.009702920967700925,0.87,7.85,87.6,18.0,75.0,2.14,11.73
UGC06446,SPARC,1,17,17,0.6640110215353168,5.371845626920896,13.553250993388811,2.160924006761036e-07,965.3793584136488,0.022550578107473105,0.58,10.22,84.9,12.0,51.0,3.8,1.67
UGC06614,SPARC,1,13,6,0.991245036500615,2.6146480321922247,6.356642398975323,7.371811289459858e-07,577.433765862727,0.0013301397489336251,24.94,64.59,205.0,88.7,36.0,0.78,0.0
UGC06667,SPARC,1,9,9,0.7993489171444643,2.8210883882492452,5.386849965432966,3.5896439256398824e-07,1039.2409625521584,0.003349145268655659,0.87,7.85,85.7,18.0,89.0,14.78,4.81
UGC06786,SPARC,1,45,39,-1.5511291609879974,69.22117845300896,169.55049973986073,5.333995645791848e-11,2087.839620647686,0.13625023820499682,0.16,34.05,229.0,29.3,64.0,0.85,107.0
UGC06787,SPARC,1,71,37,13.138317646090066,785.1321900135116,3354.784651011801,19.99999999999105,3271.8838084766458,0.03279915652364669,6.2,37.19,276.0,21.3,66.0,0.61,12.46
UGC06917,SPARC,1,11,11,1.067290982892335,4.274504468547171,5.9025035819039156,9.804443761996137e-07,772.6813394039814,0.011244036899886574,1.74,10.47,111.0,18.0,56.0,1.45,16.34
UGC06930,SPARC,1,10,10,0.29764182559132313,2.4231516635528583,5.79750680095384,5.469769777860197e-08,602.4039539166855,0.010958754871851656,1.74,16.61,109.0,18.0,32.0,1.84,8.48
UGC06983,SPARC,1,17,16,0.2610097427150606,8.520815476857402,20.107142934469195,4.767710530193176e-08,895.0518973729453,0.01728890911826124,2.61,15.68,113.0,18.0,49.0,1.93,3.26
UGC07089,SPARC,1,12,11,0.29393830497647033,6.6013363438275405,11.397214046102812,5.3943295857347426e-08,238.1914788292404,0.07498791293589067,0.87,9.16,79.1,18.0,80.0,1.11,7.62
UGC07125,SPARC,1,13,12,0.9463014552532698,8.087816441861928,16.40614523509343,6.22843450076918e-07,144.73536387926464,0.007777132438432058,2.88,18.68,65.6,19.8,90.0,1.3,1.365
UGC07151,SPARC,1,11,10,0.5447726520986247,4.483590402770311,7.980977071306205,1.381806954018895e-07,621.1405019400214,0.004604828187880527,1.0,5.5,76.2,6.87,90.0,1.28,15.649999999999999
UGC07261,SPARC,1,7,7,-0.2679692339166131,1.2296539238895556,2.1858672989747423,6.558619571587663e-09,694.8866829102548,0.007810892843242383,0.95,6.67,76.1,13.1,30.0,1.67,7.49
UGC07323,SPARC,1,10,8,-0.05470210365806483,11.069906620298175,18.211260397400974,1.4592852991355711e-08,320.91845040167766,0.051134212779871,0.58,5.82,85.6,8.0,47.0,1.03,31.700000000000003
UGC07399,SPARC,1,10,10,0.34495092407698813,1.7494061743271136,2.8237611854283777,6.531558916038176e-08,2138.336618455679,0.007883067660919446,0.61,6.13,106.0,8.43,55.0,3.21,6.545
UGC07524,SPARC,1,31,30,1.3883324670558563,28.84815362548902,104.01357062630578,3.267927808227143e-06,526.6157285942726,0.005486716860722312,0.69,10.69,83.8,4.74,46.0,2.1,6.64
UGC07603,SPARC,1,12,11,1.231127278219635,3.5587918249886314,6.9202379518931565,1.8123723920644196e-06,930.4542900798991,0.009980098403212114,0.68,4.11,64.0,4.7,78.0,1.47,2.3
UGC07608,SPARC,1,8,8,0.843400001038257,0.8187283454833115,2.4914504475650663,4.2344124167133495e-07,789.2379807875752,0.012442308721999744,0.6,4.78,69.3,8.21,25.0,5.56,3.275
UGC07690,SPARC,1,7,6,-0.07468470985870457,2.138462627635308,3.3790046368327964,1.3539307406579423e-08,590.3618040090026,0.013772106262499584,1.18,4.13,60.7,8.11,41.0,1.19,4.315
UGC07866,SPARC,1,7,7,-0.276820985629025,1.202887587684261,2.600474016197921,6.344485946225868e-09,238.8864673144946,0.0003867249418565936,0.33,2.32,33.1,4.57,44.0,1.83,5.83
UGC08286,SPARC,1,17,17,0.6695820052536448,4.345598594524423,9.303673345682052,2.2065431377613696e-07,1116.7378383770701,0.01693829463535116,0.47,8.04,84.3,6.5,90.0,3.41,4.23
UGC08490,SPARC,1,30,30,0.7500961375653874,14.079790637115744,60.11671044740211,2.9842697949982414e-07,1026.41815367542,0.03253418812530701,0.34,10.15,80.1,4.65,50.0,1.98,0.145
UGC08550,SPARC,1,11,11,0.663937646004393,4.83997711408564,11.993591858799372,2.1603294925154005e-07,713.8461346065645,0.0076855368636890705,0.49,5.36,57.8,6.7,90.0,2.57,0.36
UGC08699,SPARC,1,41,27,2.4822535822182177,38.91671710436629,109.05367624333671,0.00019762090028814123,861.248071426963,0.0063314252107480925,5.87,25.7,202.0,39.3,73.0,0.68,47.02
UGC08837,SPARC,1,8,6,2.5827312983293016,16.947659042398573,31.086401747525127,0.0002880509759406625,158.24756813568843,0.2597890459932886,1.57,4.2,48.0,7.21,80.0,0.85,7.215
UGC09037,SPARC,1,22,11,7.204530708116636,35.267312462273395,115.7860596045651,19.9588275235932,521.9452934332626,0.008916261122875435,15.78,27.96,160.0,83.6,65.0,0.39,3.38
UGC09133,SPARC,1,68,35,2.7406916110762944,181.3911156803152,730.2751690971392,0.0005208577628392258,2428.587763759424,0.5895510277676923,0.32,108.31,289.0,57.1,53.0,0.67,0.26
UGC10310,SPARC,1,7,7,0.4553295684108064,3.4910049440408644,5.679802947380134,9.880524138155828e-08,600.114661979721,0.010910781821556985,1.1,7.74,73.2,15.2,34.0,2.41,7.39
UGC11455,SPARC,1,36,7,1.2201767572167581,96.36696554479109,141.0307413415641,1.739455704483728e-06,462.8815613394419,0.044515823493947136,29.13,41.93,291.0,78.6,90.0,0.43,0.6
UGC11820,SPARC,1,10,10,0.6786475925512511,4.510590556765941,10.51724796518198,2.282846323393486e-07,575.2865785015318,0.025194589840163116,0.26,15.82,84.45,18.1,45.0,2.18,18.45
UGC12506,SPARC,1,31,31,0.5001070922117207,25.774794752347894,61.91186076350296,1.1687048631723406e-07,2060.13388621922,0.11045397955042559,0.82,49.99,255.0,100.6,86.0,1.85,11.03
UGC12632,SPARC,1,15,15,0.8291423179419196,4.500625622632714,13.038351804045872,4.0139599124513377e-07,523.7006266722715,0.008728195767786199,0.71,10.66,73.2,9.77,46.0,3.44,4.19
UGC12732,SPARC,1,16,16,0.029803118444921783,3.0860314095263126,9.627262181718095,2.0033912654840428e-08,619.103745452186,0.008800848821273882,0.96,15.4,98.0,13.2,39.0,3.27,1.05
UGCA281,SPARC,1,7,7,0.2019593950861686,1.2040765106948255,2.3798015014867637,3.820676166286193e-08,424.564561040862,0.0052064540102391066,0.09,1.08,29.5,5.68,67.0,1.62,20.85
UGCA442,SPARC,1,8,8,0.6855487884160895,0.9989077021298661,2.261232710072943,2.3426963118228899e-07,507.1703801557769,0.0034894586273457526,0.42,6.33,57.8,4.35,64.0,7.0,0.86
UGCA444,SPARC,1,36,36,0.13997672021574523,34.92347704838303,107.79357552906721,3.028272677296007e-08,408.9125189205497,0.001829553203198656,0.12,2.62,38.3,0.98,78.0,14.7,0.6699999999999999
